Title,Product URL,Price,Solder,Review,Review Number,Image URL,Crawl Time
Burning Distance,https://www.amazon.com/Burning-Distance-Joanne-Leedom-Ackerman-ebook/dp/B09X6225NL/ref=sr_1_322?keywords=Kindle+Store&qid=1706499715&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-322,$1.99,Joanne Leedom-Ackerman,4.6 out of 5 stars,37,https://m.media-amazon.com/images/I/71Wi3jUKcRL._AC_UY218_.jpg,2024-01-28 22:42:00
The Wild Inside: A Novel of Suspense (Glacier Mystery Series Book 1),https://www.amazon.com/Wild-Inside-Suspense-Glacier-Mystery-ebook/dp/B00P42X2GI/ref=sr_1_323?keywords=Kindle+Store&qid=1706499715&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-323,$1.99,Christine Carbo,4.1 out of 5 stars,"1,299",https://m.media-amazon.com/images/I/81+TMFfyJVL._AC_UY218_.jpg,2024-01-28 22:42:00
Bombay Monsoon,https://www.amazon.com/Bombay-Monsoon-James-W-Ziskin-ebook/dp/B0B1RRB8SK/ref=sr_1_324?keywords=Kindle+Store&qid=1706499715&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-324,$1.99,James W. Ziskin,4.4 out of 5 stars,74,https://m.media-amazon.com/images/I/81nQ8GkZg-L._AC_UY218_.jpg,2024-01-28 22:42:00
The Cat Who Caught a Killer: Curl Up With Purr-fect Cosy Crime Fiction for Cat Lovers (Conrad the Cat Detective Book 1),https://www.amazon.com/Cat-Who-Caught-Killer-ebook/dp/B09W2PK61K/ref=sr_1_325?keywords=Kindle+Store&qid=1706499715&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-325,$3.99,L T Shearer,4.2 out of 5 stars,367,https://m.media-amazon.com/images/I/71PnfcsDkoL._AC_UY218_.jpg,2024-01-28 22:42:00
Middle Age: A Natural History,https://www.amazon.com/Middle-Age-Natural-David-Bainbridge-ebook/dp/B006ZMG8YY/ref=sr_1_326?keywords=Kindle+Store&qid=1706499715&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-326,$2.99,David Bainbridge,4.3 out of 5 stars,22,https://m.media-amazon.com/images/I/71ErUYQmmXL._AC_UY218_.jpg,2024-01-28 22:42:00
By the Blood of Heroes: The Great Undead War: Book I,https://www.amazon.com/Blood-Heroes-Great-Undead-Book-ebook/dp/B00655VJL8/ref=sr_1_327?keywords=Kindle+Store&qid=1706499715&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-327,$1.99,Joseph Nassise,4.2 out of 5 stars,112,https://m.media-amazon.com/images/I/51IZb+Ap9tL._AC_UY218_.jpg,2024-01-28 22:42:00
The American Doctor,https://www.amazon.com/American-Doctor-Salvatore-J-Forcina-ebook/dp/B0B6KV6WVG/ref=sr_1_328?keywords=Kindle+Store&qid=1706499715&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-328,$2.99,Salvatore J. Forcina,5.0 out of 5 stars,3,https://m.media-amazon.com/images/I/81RGcI4LNOL._AC_UY218_.jpg,2024-01-28 22:42:00
The Devil's Madonna,https://www.amazon.com/Devils-Madonna-Sharon-Potts-ebook/dp/B008R9VS2A/ref=sr_1_329?keywords=Kindle+Store&qid=1706499715&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-329,$1.99,Sharon Potts,3.7 out of 5 stars,88,https://m.media-amazon.com/images/I/912rhNI-fnL._AC_UY218_.jpg,2024-01-28 22:42:00
Playing Dirty: Bad Boys Undercover,https://www.amazon.com/Playing-Dirty-Bad-Boys-Undercover-ebook/dp/B00F8P3A72/ref=sr_1_330?keywords=Kindle+Store&qid=1706499715&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-330,$1.99,HelenKay Dimon,4.2 out of 5 stars,231,https://m.media-amazon.com/images/I/9122bcsNOLL._AC_UY218_.jpg,2024-01-28 22:42:00
Cowboy Seeking Nanny (Cowboys of Moss Creek Book 1),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NzY4MzIzMTIxMjg5MDI4OjE3MDY0OTk3MTU6c3BfbXRmOjIwMDA1NDM5NTc4NDQyMTo6MDo6&url=%2FCowboy-Seeking-Nanny-Classifieds-Book-ebook%2Fdp%2FB08DM2SLCT%2Fref%3Dsr_1_331_sspa%3Fkeywords%3DKindle%2BStore%26qid%3D1706499715%26refinements%3Dp_n_deal_type%253A23566064011%26rnid%3D1248985011%26s%3Ddigital-text%26sr%3D1-331-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$0.00,Janice Whiteaker,4.5 out of 5 stars,"6,169",https://m.media-amazon.com/images/I/71UPQuR1BgL._AC_UY218_.jpg,2024-01-28 22:42:00
